name,contact_person,phone,whatsapp,address,zip_code,state,city,country,b2bmap_url
PimaAfrica Distribution Sarl AU,Mr. PimaAfrica  (Automation Engineer),+212669xxxxx,+212669xxxxx,"293, Boulevard abdelmoumen, 5eme etage Appt 1, Casablanca",20340,Casablanca,ad-Dar-al-Bayda,Morocco,https://b2bmap.com/pimaafrica-distribution
Forum Diffusion,Mr. Saïd RHARMILI  (GERANT),+212661xxxxx,+212661xxxxx,"Corner of Avenue Al Atlas and Rue Frioto, Ennakhil Residence, Building 12, Shop No. 1, Agdal District – 10080 – Rabat – MOROCCO",10080,Rabat-Sale-Zammour-Zaer,ar-Ribat,Morocco,https://b2bmap.com/forum-diffusion
Organica Group LTD,Mr. Moroccan cosmetics products  (Moroccan beauty products),+212064xxxxx,+212064xxxxx,"Lot 377 N° 3/6, Sidi Ghanem Industrial Zone, 40110 Marrakech, Morocco",40011,Marrakech-Tensift-Al Haouz,,Morocco,https://b2bmap.com/organica-group-ltd
Agaforia,Mr. Agence Agaforia  (Agence),+212066xxxxx,+212066xxxxx,Mhamid. Marrakech 40160,40000,Marrakech-Tensift-Al Haouz,,Morocco,https://b2bmap.com/agaforia
Moroccan Natural Stone,Ms. Jihane BENHOMMESS  (Founder),+212669xxxxx,+212669xxxxx,"Tangier, Morocco, 218 bni ouassine",90000,Tangier-Tetouan,Tangier,Morocco,https://b2bmap.com/moroccan-natural-stone
Tresors El Mamoun,Mr. Annajar Mohamed  (Head of Marketing),+212067xxxxx,+212067xxxxx,Angle Rue Rif et Rue Irhae Imm Jiwar 2 apt N°7 Ain Mezouar 40 000 Marrakech,40000,Marrakech-Tensift-Al Haouz,,Morocco,https://b2bmap.com/tresors-el-mamoun
Gold Cheese Morocco,Mr. Mohamed  (External Communicator),+212779xxxxx,+212779xxxxx,"Zone Industrielle Dar Bouazza, Lot N14",20220,Casablanca,ad-Dar-al-Bayda,Morocco,https://b2bmap.com/gold-cheese-morocco
Mobilier Bureau Pro (MBP),Mr. Hassane sadiki  (MOBILIER BUREAU PRO),+212772xxxxx,+212772xxxxx,Mohammedia,28830,Casablanca,ad-Dar-al-Bayda,Morocco,https://b2bmap.com/mobilier-bureau-pro-mbp
PROMASTEEL,Mr. MOHAMED BENKHAYAT  (Manager),+212065xxxxx,+212065xxxxx,FES MAROC,30050,Fes-Boulemane,Fas,Morocco,https://b2bmap.com/promasteel
Paraceutica,*,+212648xxxxx,+212648xxxxx,Morocco,43180,Marrakech-Tensift-Al Haouz,,Morocco,https://b2bmap.com/paraceutica
Bagha Shoes,Mr. Mohamad fouffah  (CEO),+212068xxxxx,+212068xxxxx,N⁰22 kasbat souss 5km bensergao,80000,Agadir,Agadir,Morocco,https://b2bmap.com/bagha-shoes
TECHNORDE,Mr. Noureddine ICHTENNA  (CEO),+212661xxxxx,+212661xxxxx,"Groupe ""F"", N°49, Rue 177, Rue Oued Nafis, Casablanca 20200",20200,Casablanca,ad-Dar-al-Bayda,Morocco,https://b2bmap.com/technorde
Labboho Morocco,Mr. Younes ARABAB  (Manager),+212066xxxxx,+212066xxxxx,Local 12 Immeuble Attadamoune,80000,Agadir,Agadir,Morocco,https://b2bmap.com/labboho-morocco
Cosmeticlab Laboratoire,Mr. Abdelghafour  (Responsable Marketing Digital),+212525xxxxx,+212066xxxxx,"292 quartier industriel Marrakech, 40000",40000,Marrakech-Tensift-Al Haouz,,Morocco,https://b2bmap.com/cosmeticlab-laboratoire
Timadel Home,Mr. Tshui hoo  (Director),+212600xxxxx,+212600xxxxx,22 rue 105 group T oulfa,65466,Oujda,Oujda,Morocco,https://b2bmap.com/timadel-home
Ennea Trophi Sarl AU,Mr. Oualid Cohen  (MANAGER),+212667xxxxx,+212667xxxxx,"N81 Quartier Bahsine, Bensergao, Agadir, Morocco.",80000,Agadir,Agadir,Morocco,https://b2bmap.com/ennea-trophi-sarl-au
Moroccan Pouf Store,Mr. Sami Bouzid  (CEO),+212067xxxxx,*,"Av. El Glaoui, Marrakech 40000",40000,Marrakech-Tensift-Al Haouz,,Morocco,https://b2bmap.com/moroccan-pouf-store
Viva Cosmetics,Mr. Hicham L  (Owner),+212600xxxxx,*,"N°200 Lot Elmassar, Zone industrielle Sidi Ghanem Route de Safi",40100,Marrakech-Tensift-Al Haouz,,Morocco,https://b2bmap.com/viva-cosmetics
Salice Cosmetics Labs,Ms. Wafaa  (Assistant),+212070xxxxx,*,Bloc 979 Rue 22 Zone Industrielle Ait Melloul,86152,Agadir,Agadir,Morocco,https://b2bmap.com/salice-cosmetics-labs
Eco Transfo,Ms. Fatima Serhane  (Sales Agent),+212522xxxxx,*,"Zi Du Sahel Had Soualem, ad-Dar-al-Bayda, Casablance, Morocco",20000,Casablanca,ad-Dar-al-Bayda,Morocco,https://b2bmap.com/eco-transfo
Maroc Gard,Mr. Maroc Gard,+212053xxxxx,*,"Route Sefrou, Fès, Maroc.",30000,Fes-Boulemane,Fes,Morocco,https://b2bmap.com/maroc-gard
Antique Brass Moroccan LTD.,Mr. Foucet brass  (Sales manager),+212660xxxxx,*,"sidi ghanem N° 203, Marrakech 40110, Morocco",40110,Marrakech-Tensift-Al Haouz,,Morocco,https://b2bmap.com/antique-brass-moroccan-ltd
GATÔ,Ms. Fati  (Manager),+212066xxxxx,*,"Rue Hassania, 2 pas de la clinique Chifa, et à Côté de l'école du Sud, Gueliz, Marrakech, Morocco",40000,Marrakech-Tensift-Al Haouz,,Morocco,https://b2bmap.com/gato
PINGER MAROC,Mr. Abdelaziz  (General Manger),+212661xxxxx,*,219 Quartire sidi ghanem Zone industriells,40000,Marrakech-Tensift-Al Haouz,,Morocco,https://b2bmap.com/pinger-maroc
Maghreb Market,Mr. Maghreb Market  (Manager),+212687xxxxx,*,3 hay riad rabat maroc,99350,Rabat-Sale-Zammour-Zaer,ar-Ribat,Morocco,https://b2bmap.com/maghreb-market
OMNISCIENT PE,Mr. Youness Sahimi  (Proprietor),+212777xxxxx,*,Hay mahata,35000,Taza-Al Hoceima-Taounate,,Morocco,https://b2bmap.com/omniscient-pe
Berber Rugs Store Ltd,Mr. Moroccan Rugs  (Moroccan Berber rugs for sale - carpet online wholesale),+212679xxxxx,*,"Mohamed Tountni Hay YBT 11, 40000– Gueliz – Marrakesh, Morocco",40000,Marrakech-Tensift-Al Haouz,,Morocco,https://b2bmap.com/berber-rugs-store
Story Rabat Hotel Boutique & Spa,Mr. Steven Andrews  (Owner),+212538xxxxx,*,"Angle Rue Bani Yadder & Rue Jebala, Quartier les Ambassadeurs, 10220 Rabat, Morocco",10220,Rabat-Sale-Zammour-Zaer,ar-Ribat,Morocco,https://b2bmap.com/story-rabat-hotel-boutique-spa
Fusion Bpo Services,Mr. Kamal Fatehi  (Manager),+212522xxxxx,*,"43 Bd d'Anfa, Casablanca 20250, Morocco",20250,Casablanca,ad-Dar-al-Bayda,Morocco,https://b2bmap.com/fusion-bpo-services
MDS Cheminees,Mr. MDS Cheminees  (Founder),+212070xxxxx,*,"4 Bd January 11 Bab, Doukkala, Marrakech",40033,Marrakech-Tensift-Al Haouz,,Morocco,https://b2bmap.com/mds-cheminees
Agence Digital Spread,Mr. Mohammed Naim  (DG),+212053xxxxx,*,N20 ETG 3 RESIDENCE AL AZIZA BD ARABIE SAOUDITE,90000,Taza-Al Hoceima-Taounate,,Morocco,https://b2bmap.com/agence-digital-spread
Argan Oil Wholesale Company,Mr. moroccan wholesale of argan oil  (moroccan wholesale of argan oil),+212648xxxxx,*,"Lot 377 N°3/6 sidi ghanem Zone industriel, 40110 marrakesh",40110,Marrakech-Tensift-Al Haouz,,Morocco,https://b2bmap.com/argan-oil-wholesale-company
Lex Connect,Mr. Dounia Cheikh  (Digital agency),+212661xxxxx,*,Av. Moulay Ismail Res. Moulay Ismail N ° 22 5th floor N ° 19,0000,Tangier-Tetouan,Tangier,Morocco,https://b2bmap.com/lex-connect
Leather Shoes Wholesale,Mr. Nora elharti  (manager),+212660xxxxx,*,N 425 zone industrielle bouskoura,20350,Casablanca,ad-Dar-al-Bayda,Morocco,https://b2bmap.com/leather-shoes-wholesale
Twichya,Mr. twichya  (twichya),+212700xxxxx,*,"Twichya,22 Rue touareg, Marrakech 40000",40000,Marrakech-Tensift-Al Haouz,,Morocco,https://b2bmap.com/twichya
Falcoex,Mr. Nabil  (CEO),+212700xxxxx,*,"Diour jamaa, Rabat",10060,Rabat-Sale-Zammour-Zaer,ar-Ribat,Morocco,https://b2bmap.com/falcoex
Sahara Holiday Tours,Mr. moha aalla  (manager),+212066xxxxx,*,rue hassan II 140 Casablanca,20000,Casablanca,ad-Dar-al-Bayda,Morocco,https://b2bmap.com/sahara-holiday-tours
Moroccan Organic Products LTD,Mr. organic  (export manager),+212680xxxxx,*,"Casablanca Road,N°212 Marrakesh, Morocco",40110,Marrakech-Tensift-Al Haouz,,Morocco,https://b2bmap.com/moroccan-organic-products
Marganom,Mr. MOHAMED sougrate  (manager),+212669xxxxx,*,Magasin N8 SIS au souk Arbiaa Takoucht tmanar,40040,Marrakech-Tensift-Al Haouz,,Morocco,https://b2bmap.com/marganom
Bioprogreen,Mr. Lchgar Hicham  (beauty product),+212060xxxxx,*,"AL MASSAR, ORIENTAL GROUP, LOT AL MASSAR.N°200 Rou, ORIENTAL GROUP",40100,Marrakech-Tensift-Al Haouz,,Morocco,https://b2bmap.com/bioprogreen
Jood Cosmetic,Mr. jood cosmetic  (jood cosmetic),+212067xxxxx,*,"N30, 1er etage kissariat marjane TIZNIT 85000",80000,Souss Massa-Draa,,Morocco,https://b2bmap.com/jood-cosmetic
ORIENTAL GROUP,Mr. HICHAM LACHGAR  (argan oil),+212600xxxxx,*,"AL MASSAR, ORIENTAL GROUP, lot al massar N°200 Rout de Safi Marrakech",1,Marrakech-Tensift-Al Haouz,,Morocco,https://b2bmap.com/argan-oil
Moroccan Leather Pouf Ottomans Footstools,Mr. Moroccan leather pouf ottomans wholesale  (export manager),+212064xxxxx,*,"Souk Leather Poufs, Morocco",40110,Marrakech-Tensift-Al Haouz,,Morocco,https://b2bmap.com/moroccan-leather-pouf-ottomans-footstools
Chameau Marrakech,Mr. Khalid Amani  (Owner),+212061xxxxx,*,Bloc19 N691 M'hamid,40160,Marrakech-Tensift-Al Haouz,,Morocco,https://b2bmap.com/chameau-marrakech
Oriental Group,Mr. Pascal  (Seller),+212600xxxxx,*,"ORIENTAL GROUP N ° 200 Lot El Massar, Sidi Ghanem Industrial Estate. Route de Safi 40 100 Marrakech MOROCCO",40100,Marrakech-Tensift-Al Haouz,,Morocco,https://b2bmap.com/oriental-group-sarl-au
Moroccan Sardine,Mr. Pascal  (Marrakech),+212524xxxxx,*,"N°200 Lot Elmassar, Sidi Ghanem Industrial Estate",40100,Marrakech-Tensift-Al Haouz,,Morocco,https://b2bmap.com/moroccan-sardine
Oriental Group,Mr. pascal  (seller),+212600xxxxx,*,"N ° 200 Lot El Massar, Sidi Ghanem Industrial Estate. Route De Safi 40 100, Marrakech, Morocco",40100,Marrakech-Tensift-Al Haouz,,Morocco,https://b2bmap.com/oriental-group
Organica Group Sarl,Mr. moroccan organica  (export manager),+212777xxxxx,*,Lot 377 N ° 3/6 Sidi Ghanem Zone industriel، 40110 marrakesh.,40110,Marrakech-Tensift-Al Haouz,,Morocco,https://b2bmap.com/organica-group-sarl
Amin,Hammouni  (Textil),xxxxx,*,31 Ruekaratchi,Country:,,,Morocco,https://b2bmap.com/company-20129
Piximage,Ben Hassain Said  (Manager),xxxxx,*,"63, Rue 47, Bloc 1, Hay Sadri, Casablanca, Morocco",Country:,,,Morocco,https://b2bmap.com/company-20013
Import Export Panafric,Zouhair  (Import Manager),xxxxx,*,Rue Mly Rachid,Country:,,,Morocco,https://b2bmap.com/company-10497
Omak Trade,Kissi  (Manager),xxxxx,*,Rue El Ghadfa,Country:,,,Morocco,https://b2bmap.com/company-3124
Alwiffak Attijari,H. Achoukhane  (Manager),xxxxx,*,Casablanca Morocco,Country:,,,Morocco,https://b2bmap.com/company-9094
Voltolina Lighting,Safae Battou  (Marketing And Trade),xxxxx,*,Industriel Zone Po 536,Country:,,,Morocco,https://b2bmap.com/company-1872
Cyclomania Co,Mohamed  (Manager),xxxxx,*,200 Hay Nahda 2 Ext 3,Country:,,,Morocco,https://b2bmap.com/company-11594
